system   D            wsystem.c:583  maybe_parent_dir                 [   0.00060] Also searching A:\Projekt Statki c++\STATKI_KOD\
display  D   display_settings.c:357  _al_score_display_settings       [   0.07217] Single Buffer requirement not met.
display  D   display_settings.c:486  _al_score_display_settings       [   0.07218] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.07219] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.07220] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.07220] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.07221] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.07222] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.07223] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.07224] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.07224] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.07225] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.07226] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.07227] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.07227] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.07228] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.07229] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.07230] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.07231] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.07231] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.07232] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.07233] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.07234] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.07235] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.07235] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.07236] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.07237] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.07238] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.07238] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.07239] Score is : 726
display  D   display_settings.c:357  _al_score_display_settings       [   0.07240] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07241] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07242] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07243] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07243] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07244] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07245] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07246] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07247] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07248] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07249] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07249] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07251] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07252] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07253] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07253] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07254] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07255] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07257] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07257] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07258] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07259] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07260] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07261] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07261] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07263] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07264] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07264] Single Buffer requirement not met.
display  D   display_settings.c:486  _al_score_display_settings       [   0.07265] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.07266] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.07267] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.07268] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.07268] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.07269] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.07270] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.07271] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.07271] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.07272] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.07273] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.07274] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.07274] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.07275] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.07276] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.07277] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.07277] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.07280] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.07281] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.07282] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.07284] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.07284] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.07285] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.07286] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.07287] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.07287] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.07288] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.07289] Score is : 598
display  D   display_settings.c:357  _al_score_display_settings       [   0.07290] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07290] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07291] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07292] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07293] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07294] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07295] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07296] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07297] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07299] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07299] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07300] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07301] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07302] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07303] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07304] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07305] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07306] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07307] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07308] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07308] Single Buffer requirement not met.
