system   D            wsystem.c:583  maybe_parent_dir                 [   0.00122] Also searching A:\Projekt Statki c++\STATKI_KOD\
display  D   display_settings.c:357  _al_score_display_settings       [   0.07579] Single Buffer requirement not met.
display  D   display_settings.c:486  _al_score_display_settings       [   0.07580] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.07581] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.07582] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.07582] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.07583] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.07584] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.07585] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.07586] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.07586] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.07587] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.07588] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.07589] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.07589] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.07590] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.07591] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.07592] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.07592] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.07593] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.07594] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.07595] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.07595] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.07596] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.07597] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.07598] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.07598] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.07599] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.07600] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.07601] Score is : 726
display  D   display_settings.c:357  _al_score_display_settings       [   0.07601] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07602] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07603] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07604] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07605] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07606] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07606] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07607] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07608] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07609] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07610] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07611] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07611] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07612] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07613] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07614] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07615] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07615] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07616] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07617] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07618] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07619] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07619] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07620] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07621] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07622] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07623] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07623] Single Buffer requirement not met.
display  D   display_settings.c:486  _al_score_display_settings       [   0.07624] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.07625] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.07626] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.07627] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.07627] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.07628] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.07629] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.07630] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.07630] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.07631] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.07632] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.07633] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.07633] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.07634] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.07635] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.07636] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.07636] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.07639] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.07640] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.07640] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.07641] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.07642] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.07643] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.07643] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.07644] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.07645] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.07646] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.07646] Score is : 598
display  D   display_settings.c:357  _al_score_display_settings       [   0.07647] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07648] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07649] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07650] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07650] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07651] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07652] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07653] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07654] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07654] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07655] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07656] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07657] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07658] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07658] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07659] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07660] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07661] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07662] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07662] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07663] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07664] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07665] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07666] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07666] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07667] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07668] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.07669] Single Buffer requirement not met.
display  D   display_settings.c:197  _al_score_display_settings       [   0.07670] Display not compatible with Allegro.
display  D   display_settings.c:197  _al_score_display_settings       [   0.07671] Display not compatible with Allegro.
display  D   display_settings.c:197  _al_score_display_settings       [   0.07671] Display not compatible with Allegro.
display  D   display_settings.c:197  _al_score_display_settings       [   0.07672] Display not compatible with Allegro.
d3d      D         d3d_disp.cpp:1836 d3d_create_display_internals     [   0.07676] Trying format 0 of 188.
d3d      I         d3d_disp.cpp:1514 d3d_display_thread_proc          [   0.07695] Chose a display format: 23
d3d      I         d3d_disp.cpp:1583 d3d_display_thread_proc          [   0.07697] Normal window.
d3d      I         d3d_disp.cpp:978  d3d_create_device                [   0.09735] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:1058 d3d_create_device                [   0.17883] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:1066 d3d_create_device                [   0.17886] Success
d3d      D         d3d_disp.cpp:1859 d3d_create_display_internals     [   0.17889] Resumed after wait.
d3d      I         d3d_disp.cpp:1884 d3d_create_display_internals     [   0.17894] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.18268] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.18270] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.18270] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.18271] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.18272] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.18273] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.18273] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.18274] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.18275] Fake format
d3d      D         d3d_disp.cpp:1362 real_choose_bitmap_format        [   0.18275] Alpha doesn't match
d3d      D         d3d_disp.cpp:1369 real_choose_bitmap_format        [   0.18276] Adapter format is 23
d3d      D         d3d_disp.cpp:1372 real_choose_bitmap_format        [   0.18277] Found a format
d3d      I         d3d_disp.cpp:2446 _al_d3d_create_bitmap            [   0.18278] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.18291] added dtor for object 00E15290, func 595820F9
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [   0.18482] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [   0.18483] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.18537] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.18538] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.18539] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.18540] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.18541] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.18541] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.18542] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.18543] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.18544] Fake format
d3d      D         d3d_disp.cpp:1362 real_choose_bitmap_format        [   0.18545] Alpha doesn't match
d3d      D         d3d_disp.cpp:1369 real_choose_bitmap_format        [   0.18545] Adapter format is 23
d3d      D         d3d_disp.cpp:1372 real_choose_bitmap_format        [   0.18546] Found a format
d3d      I         d3d_disp.cpp:2446 _al_d3d_create_bitmap            [   0.18547] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.18558] added dtor for object 00E1E9C0, func 595820F9
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [   0.18744] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [   0.18746] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.18797] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.18798] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.18799] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.18800] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.18800] Fake format
